feedback_id,issue_no,source,channel,car_series,created_time,raw_text,domain,module,scenario,problem,severity,sentiment,impact_score,frequency_score,priority_score
TP000120260503006097,4,5月产品建议.xlsx,APP,LS8,2026-05-03 22:50:56,我设定的速度大于限速百分之五，它就严格按照这个速度过弯。今天就遇到了两次，旁边还有车并排在过弯，它以设定的速度85一起过弯,智驾体验,过弯速度控制,自动辅助导航驾驶,车辆以设定速度85过弯，未根据限速和弯道情况自适应降低速度，存在安全隐患,1,0,0.2,1,21.61
TP000120260503006000,1,5月产品建议.xlsx,APP,LS8,2026-05-03 21:54:28,有没有人离车只下电不锁门功能,车联车控,门锁,现有体验优化,离车后仅下电不自动锁门的功能缺失,1,0,0.2,1,21.61
TP000120260502005869,3,5月产品建议.xlsx,APP,LS6,2026-05-02 22:49:28,这因为不符合驾驶人的逻辑。驾驶中肯定是瞟一眼屏幕画面，而不会仔细看文字，没那么多精力观察四周还要观察到底显示的是A柱还是左后,智能座舱,多屏协同,屏幕/联动,屏幕信息显示不符合驾驶逻辑，文字需仔细阅读而驾驶中无法细看,1,0,0.2,1,21.61
TP000120260502005303,1,5月产品建议.xlsx,APP,LS6,2026-05-02 19:05:39,我的车辆里没看到车辆每天行驶记录之类的功能,APP体验,远程控制,现有体验优化,用户反馈车辆APP中缺少每日行驶记录功能,1,0,0.2,1,21.61
TP000120260502004731,1,5月产品建议.xlsx,APP,LS8,2026-05-02 17:30:01,im ad高速路段每次到了隧道口强制限速六十，并且减速的很快，建议增加进入隧道速度维持不变或者少量减速的选项，一下子降速很容易发生事故,智驾体验,智能辅助驾驶,现有体验优化,隧道口强制限速过快，建议增加保持速度或少量减速的选项,1,0,0.4,1,31.61
TP000120260502003395,1,5月产品建议.xlsx,APP,L6,2026-05-02 15:12:16,响子聊电车，口碑极差，影响智己形象！,其他,,,响子聊电车口碑极差，影响智己形象,1,-1,0.2,1,26.61
TP000120260502003451,1,5月产品建议.xlsx,APP,LS6,2026-05-02 15:17:20,r6更新以后直行特别喜欢走左道，遇到左转车或对向掉头车会安被堵住，特别影响通行效率,智驾体验,智能辅助驾驶,现有体验优化,直行时偏好走左道导致被左转或掉头车辆阻挡,1,1,0.2,1,21.61
TP000120260501004830,3,5月产品建议.xlsx,APP,LS6,2026-05-01 17:59:42,手机充电板做斜放的，平放不方便。,车辆品质,充电板,手机充电,充电板角度设计不合理，平放不方便,1,1,0.4,1,31.61
TP000120260501001125,1,5月产品建议.xlsx,APP,,2026-05-01 10:52:22,营销方面的建议。ZHIJI智己按拼音排，排在最后了，不利于占据选车者注意。如奥迪、奔驰、宝马、别克、大众，都是排在前面的。问界聪明，按中文名排在很后面，但它按英文排，却在最前面。品牌这事想变不易啊。,品牌营销,APP,品牌排序,品牌排序靠后影响注意力,1,0,0.4,1,31.61
TP000120260501000135,1,5月产品建议.xlsx,APP,LS7,2026-05-01 07:19:54,ls7的升降屏幕能否设置手动开关？不要每次启动都要自动,智能座舱,多屏协同,屏幕/联动,建议增加升降屏幕手动开关功能，避免每次启动自动升降,1,0,0.2,1,21.61
TP000120260325000221,1,APP建议.xlsx,APP,LS9,2026-03-25 09:13:58,脚踏板伸出的时候太慢了,电子电器建议,其他,现有体验优化,脚踏板伸出速度慢,1,0,0.2,1,21.61
TP000120260323002026,1,APP建议.xlsx,APP,L7,2026-03-23 14:07:43,强烈要求智己尽快恢复与汇充电的互联互通合作。汇充电在深圳龙岗、南山等区域覆盖广、停车充电一体化，对家庭出行、日常补能非常重要，是深圳车主高频使用的充电品牌。希望官方重视深圳车主需求，尽快恢复合作！！,补能,充电合作,现有体验优化,要求恢复与汇充电的互联互通合作,1,0,0.4,1,31.61
TP000120260228003997,1,APP建议.xlsx,APP,L6,2026-02-28 19:12:54,想要无麦k歌,智舱体验,无麦K歌与模拟声浪,现有体验优化,用户希望增加无麦K歌功能,1,0,0.2,1,21.61
TP000120260228003974,1,APP建议.xlsx,APP,LS6,2026-02-28 19:04:35,对路况的探测还是有缺陷，路上的大坑及路边的大坑它不会避让， 并且在靠公路边的这个车道行驶的时候，它还默认保持在这条车道的中间，这样靠近公路一边有很多小石子，这样的路不太好的路，他就走到这个路面上来了。,智驾体验,智能辅助驾驶,现有体验优化,路况探测缺陷，无法避让大坑，路边车道居中导致压到石子,1,0,0.2,1,21.61
TP000120260218002161,2,APP建议.xlsx,APP,LS6,2026-02-18 17:32:48,车辆进行充电的时候可否自动关闭行车灯。,智舱体验,智能座舱,充电场景,充电时无法自动关闭行车灯，希望增加该功能。,1,0,0.2,1,21.61
TP000120260123006430,1,APP建议.xlsx,APP,L6,2026-01-23 22:04:54,开车时直接车辆模型卡住滑行，完全不像是正常的显示。直接卡住的那种状态。时间大概在21:55-21:58,智舱体验,车机系统,现有体验优化,驾驶过程中车辆模型卡住滑行，显示异常，出现时间21:55-21:58,1,-1,0.2,1,26.61
TP000120260118005021,1,APP建议.xlsx,APP,LS6,2026-01-18 23:48:45,自动远近光灯反应有点滞后，遇到前方车辆变光缓慢，老是被对方车辆用远光灯愤怒直射,灯光体验,自动远近光灯,反应滞后,自动远近光灯反应滞后，导致被对方车辆用远光灯照射,1,0,0.2,1,21.61
TP000120260114001209,1,APP建议.xlsx,APP,LS7,2026-01-14 11:34:52,通勤模式闯黄灯应该需要优化，现在闯黄灯算违章了，扣6分，罚款200元,智驾体验,智能辅助驾驶,现有体验优化,通勤模式闯黄灯逻辑优化,1,0,0.4,1,31.61
TP000120260114000874,1,APP建议.xlsx,APP,LS9,2026-01-14 10:50:54,LS9在车内看不到车内实时温度，只能在手机上看，不方便，不科学，建议在驾驶屏幕上增加一个车内温度显示。,智能座舱,仪表信息显示,仪表显示增强,驾驶屏幕增加车内温度显示,1,1,0.4,1,31.61
TP000120260112003817,6,APP建议.xlsx,APP,LS6,2026-01-12 16:50:13,高架出口，重新上高架，分叉口有概率出错,智驾体验,智能辅助驾驶,高架分叉口,高架出口重新上高架时，分叉口有概率出错,1,0,0.2,1,21.61
